ID_producto;categoria_producto;nombre_producto;precio_producto;ID_factura;Cantidad;Total;Metodo_pago;Fecha_factura;ID_cliente;Ciudad;Gastos_marketing_OG
101000001;Animales ;Bolsa diseño rana;50000;20230000005;10;500000;Tarjeta debito ;10/01/2023;1000004;Bucaramanga ;64865
101000001;Animales ;Bolsa diseño rana;50000;20230000007;20;1000000;Tarjeta debito ;12/01/2023;1000006;Bogotá;116667
104000003;Flora-Paisajes;Bolsa diseño roja;50000;20230000002;8;400000;Tarjeta credito;5/01/2023;1000001;Bucaramanga ;51892
101000002;Animales ;Bolsa diseño orangutanes;50000;20230000013;9;450000;Tarjeta credito;20/01/2023;1000012;Cali;56000
101000001;Animales ;Bolsa diseño rana;50000;20230000001;15;750000;Tarjeta credito;1/01/2023;1000002;Bucaramanga ;97297
101000002;Animales ;Bolsa diseño orangutanes;50000;20230000012;7;350000;Tarjeta credito;18/01/2023;1000011;Cali;43556
101000001;Animales ;Bolsa diseño rana;50000;20230000008;20;1000000;Tarjeta credito;13/01/2023;1000007;Bogotá;116667
106000001;Musica;Bolsa diseño bateria;50000;20230000003;4;200000;Tarjeta debito ;6/01/2023;1000003;Bucaramanga ;25946
102000001;Danza;Bolsa diseño classics;50000;20230000016;6;300000;Tarjeta debito ;23/01/2023;1000004;Cali;37333
101000003;Animales ;Bolsa diseño serpiente;50000;20230000015;25;1250000;Tarjeta credito;22/01/2023;1000014;Cali;155556
101000002;Animales ;Bolsa diseño orangutanes;50000;20230000011;13;650000;Tarjeta debito ;17/01/2023;1000010;Bogotá;75833
101000001;Animales ;Bolsa diseño rana;50000;20230000009;20;1000000;Tarjeta credito;14/01/2023;1000008;Bogotá;116667
106000002;Musica;Bolsa diseño guitarras;50000;20230000003;5;250000;Tarjeta debito ;7/01/2023;1000003;Bucaramanga ;32432
103000001;Deportes;Bolsa diseño swin;50000;20230000001;4;200000;Tarjeta credito;3/01/2023;1000002;Bucaramanga ;25946
102000001;Danza;Bolsa diseño classics;50000;20230000017;6;300000;Tarjeta debito ;25/01/2023;1000015;Cali;37333
102000001;Danza;Bolsa diseño classics;50000;20230000018;28;1400000;Tarjeta debito ;27/01/2023;1000016;Cali;174222
101000001;Animales ;Bolsa diseño rana;50000;20230000004;18;900000;Tarjeta debito ;9/01/2023;1000004;Bucaramanga ;116757
101000001;Animales ;Bolsa diseño rana;50000;20230000006;3;150000;Tarjeta debito ;11/01/2023;1000005;Bogotá;17500
